playerId,playerName,club,teamName,selectionId,selectionTeam,category,status,sourceId
hk-nl-f-amsterdam-trijntje-beljaars,Trijntje Beljaars,Amsterdam,Amsterdam D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-joosje-burg,Joosje Burg,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-jip-dicke,Jip Dicke,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-pien-dicke,Pien Dicke,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-amsterdam-fay-van-der-elst,Fay van der Elst,Amsterdam,Amsterdam D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-rosa-fernig,Rosa Fernig,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-kampong-luna-fokke,Luna Fokke,Kampong,Kampong D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-kampong-eline-jansen,Eline Jansen,Kampong,Kampong D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-yibbi-jansen,Yibbi Jansen,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-marleen-jochems,Marleen Jochems,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-josine-koning,Josine Koning,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-sanne-koolen,Sanne Koolen,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-amsterdam-daantje-de-kruijff,Daantje de Kruijff,Amsterdam,Amsterdam D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-renee-van-laarhoven,Renee van Laarhoven,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-frederique-matla,Frédérique Matla,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-amsterdam-freeke-moes,Freeke Moes,Amsterdam,Amsterdam D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-kampong-noor-van-den-nieuwenhof,Noor van den Nieuwenhof,Kampong,Kampong D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-lisa-post,Lisa Post,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-pien-sanders,Pien Sanders,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-amsterdam-marijn-veen,Marijn Veen,Amsterdam,Amsterdam D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
