id,name,gender,club,teamLabel,competition,jerseyNumber,nationality,positionStatus,positionSource,positionSourceUrl
hk-nl-m-oranje-rood-borja-lacalle,Borja LaCalle,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,14,ES,unknown,,
hk-nl-m-oranje-rood-isha-houben,Isha Houben,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,15,NL,unknown,,
hk-nl-m-oranje-rood-thijs-bams,Thijs Bams,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,17,NL,unknown,,
hk-nl-m-oranje-rood-sem-de-roij,Sem de Roij,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,18,NL,unknown,,
hk-nl-m-oranje-rood-bob-de-voogd,Bob de Voogd,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,19,NL,unknown,,
hk-nl-m-oranje-rood-henrik-mertgens,Henrik Mertgens,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,21,DE,unknown,,
hk-nl-m-oranje-rood-jacky-van-hout,Jacky van Hout,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,22,NL,unknown,,
hk-nl-m-oranje-rood-joep-de-mol,Joep de Mol,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,23,BE,unknown,,
hk-nl-m-oranje-rood-tijmen-reyenga,Tijmen Reyenga,male,Oranje-Rood,Heren 1,Tulp Hoofdklasse Hockey Heren,29,NL,unknown,,
hk-nl-m-pinoke-jannis-van-hattum,Jannis van Hattum,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,6,NL,unknown,,
hk-nl-m-pinoke-jacob-draper,Jacob Draper,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,7,GB,unknown,,
hk-nl-m-pinoke-florent-van-aubel,Florent van Aubel,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,8,BE,unknown,,
hk-nl-m-pinoke-pepijn-van-der-valk,Pepijn van der Valk,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,9,NL,unknown,,
hk-nl-m-pinoke-boris-aardenburg,Boris Aardenburg,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,10,NL,unknown,,
hk-nl-m-pinoke-daan-bonhof,Daan Bonhof,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,12,NL,unknown,,
hk-nl-m-pinoke-texas-bukkens,Texas Bukkens,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,14,NL,unknown,,
hk-nl-m-pinoke-jimi-kummer,Jimi Kummer,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,15,NL,unknown,,
hk-nl-m-pinoke-indra-aerts,Indra Aerts,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,16,NL,unknown,,
hk-nl-m-pinoke-joppe-stappenbelt,Joppe Stappenbelt,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,17,NL,unknown,,
hk-nl-m-pinoke-gijs-somers,Gijs Somers,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,18,NL,unknown,,
hk-nl-m-pinoke-luca-wolff,Luca Wolff,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,19,DE,unknown,,
hk-nl-m-pinoke-iwan-roukema,Iwan Roukema,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,20,NL,unknown,,
hk-nl-m-pinoke-teo-hinrichs,Teo Hinrichs,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,22,DE,unknown,,
hk-nl-m-pinoke-thies-prinz,Thies Prinz,male,Pinoké,Heren 1,Tulp Hoofdklasse Hockey Heren,23,DE,unknown,,
hk-nl-m-rotterdam-lucas-van-tetering,Lucas van Tetering,male,Rotterdam,Heren 1,Tulp Hoofdklasse Hockey Heren,3,NL,unknown,,
hk-nl-m-rotterdam-jeroen-hertzberger,Jeroen Hertzberger,male,Rotterdam,Heren 1,Tulp Hoofdklasse Hockey Heren,21,NL,unknown,,
hk-nl-m-schaerweijde-tijs-van-horn,Tijs van Horn,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,2,NL,unknown,,
hk-nl-m-schaerweijde-mick-bosse,Mick Bosse,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,3,NL,unknown,,
hk-nl-m-schaerweijde-joost-van-eijck,Joost van Eijck,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,4,NL,unknown,,
hk-nl-m-schaerweijde-jaap-solleveld,Jaap Solleveld,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,5,NL,unknown,,
hk-nl-m-schaerweijde-pepijn-leenhouts,Pepijn Leenhouts,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,6,NL,unknown,,
hk-nl-m-schaerweijde-teun-van-aalderen,Teun van Aalderen,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,9,NL,unknown,,
hk-nl-m-schaerweijde-daan-troost,Daan Troost,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,10,NL,unknown,,
hk-nl-m-schaerweijde-niels-de-joode,Niels de Joode,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,11,NL,unknown,,
hk-nl-m-schaerweijde-jens-hagen,Jens Hagen,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,12,NL,unknown,,
hk-nl-m-schaerweijde-stijn-draaijer,Stijn Draaijer,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,14,NL,unknown,,
hk-nl-m-schaerweijde-derk-moret,Derk Moret,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,16,NL,unknown,,
hk-nl-m-schaerweijde-graeme-scott,Graeme Scott,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,17,GB,unknown,,
hk-nl-m-schaerweijde-thibaut-mordac,Thibaut Mordac,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,18,BE,unknown,,
hk-nl-m-schaerweijde-tom-vermeulen,Tom Vermeulen,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,19,NL,unknown,,
hk-nl-m-schaerweijde-jelle-westendorp,Jelle Westendorp,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,20,NL,unknown,,
hk-nl-m-schaerweijde-michiel-moret,Michiel Moret,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,21,NL,unknown,,
hk-nl-m-schaerweijde-maarten-bruisten,Maarten Bruisten,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,24,NL,unknown,,
hk-nl-m-schaerweijde-lode-draaijer,Lode Draaijer,male,Schaerweijde,Heren 1,Tulp Hoofdklasse Hockey Heren,77,NL,unknown,,
